urls,url_index
https://en.wikipedia.org/wiki/CtrlS,0
https://en.wikipedia.org/wiki/Green_computing,1
https://en.wikipedia.org/wiki/Multimedia_database,2
https://en.wikipedia.org/wiki/James_Pierpont_(Yale_founder),3
https://en.wikipedia.org/wiki/Thomas_Dietterich,4
https://en.wikipedia.org/wiki/Citizen_science,5
https://en.wikipedia.org/wiki/Downtown_New_Haven,6
https://en.wikipedia.org/wiki/Crotonia_(literary_society),7
https://en.wikipedia.org/wiki/Meehan_Auditorium,8
https://en.wikipedia.org/wiki/ZDNet,9
https://en.wikipedia.org/wiki/Restricted_randomization,10
https://en.wikipedia.org/wiki/Parallel_random-access_machine,11
https://en.wikipedia.org/wiki/Dasgupta%27s_objective,12
https://en.wikipedia.org/wiki/Manuscript_Society,13
https://en.wikipedia.org/wiki/Canada_Science_and_Technology_Museum,14
https://en.wikipedia.org/wiki/Gated_recurrent_unit,15
https://en.wikipedia.org/wiki/GPU,16
https://en.wikipedia.org/wiki/Barney_Pell,17
https://en.wikipedia.org/wiki/Generalized_linear_model,18
https://en.wikipedia.org/wiki/Kendall_rank_correlation_coefficient,19
https://en.wikipedia.org/wiki/Frederic_Remington,20
https://en.wikipedia.org/wiki/Covariate,21
https://en.wikipedia.org/wiki/Mindanao_State_University,22
https://en.wikipedia.org/wiki/Douglas_Moore,23
https://en.wikipedia.org/wiki/Application_security,24
https://en.wikipedia.org/wiki/Patrick_Suppes,25
https://en.wikipedia.org/wiki/World_War_II,26
https://en.wikipedia.org/wiki/Network_scheduler,27
https://en.wikipedia.org/wiki/John_Hopfield,28
https://en.wikipedia.org/wiki/Model_of_computation,29
https://en.wikipedia.org/wiki/Nature_(journal),30
https://en.wikipedia.org/wiki/Agent-based_model,31
https://en.wikipedia.org/wiki/General_linear_model,32
https://en.wikipedia.org/wiki/Nicholas_Muellner,33
https://en.wikipedia.org/wiki/Madras,34
https://en.wikipedia.org/wiki/Michael_George_Cooke,35
https://en.wikipedia.org/wiki/Virtual_private_cloud,36
https://en.wikipedia.org/wiki/Semiparametric_regression,37
https://en.wikipedia.org/wiki/Elihu_Yale,38
https://en.wikipedia.org/wiki/D_(programming_language),39
https://en.wikipedia.org/wiki/Samuel_Alito,40
https://en.wikipedia.org/wiki/Linear_temporal_logic,41
https://en.wikipedia.org/wiki/Distributed_file_system_for_cloud,42
https://en.wikipedia.org/wiki/Automatic_differentiation,43
https://en.wikipedia.org/wiki/Microsoft_Teams,44
https://en.wikipedia.org/wiki/Experimental_unit,45
https://en.wikipedia.org/wiki/Hartford_Hawks,46
https://en.wikipedia.org/wiki/Three_Rivers_Community_College_(Connecticut),47
https://en.wikipedia.org/wiki/GNU,48
https://en.wikipedia.org/wiki/Macy%27s,49
https://en.wikipedia.org/wiki/Content_as_a_service,50
https://en.wikipedia.org/wiki/Leslie_Lamport,51
https://en.wikipedia.org/wiki/Experiment,52
https://en.wikipedia.org/wiki/Metric_(mathematics),53
https://en.wikipedia.org/wiki/Thread_(computing),54
https://en.wikipedia.org/wiki/Post_University,55
https://en.wikipedia.org/wiki/Enterprise_software,56
https://en.wikipedia.org/wiki/SciPy,57
https://en.wikipedia.org/wiki/George_H.W._Bush,58
https://en.wikipedia.org/wiki/Consistent_estimator,59
https://en.wikipedia.org/wiki/Machine_perception,60
https://en.wikipedia.org/wiki/Sparse_approximation,61
https://en.wikipedia.org/wiki/WPGMA,62
https://en.wikipedia.org/wiki/San_Gimignano,63
https://en.wikipedia.org/wiki/JavaScript,64
https://en.wikipedia.org/wiki/AAAI,65
https://en.wikipedia.org/wiki/Knowledge_discovery,66
https://en.wikipedia.org/wiki/Richard_Jeffrey,67
https://en.wikipedia.org/wiki/Parallel_computing,68
https://en.wikipedia.org/wiki/Computational_phylogenetics,69
https://en.wikipedia.org/wiki/Logic,70
https://en.wikipedia.org/wiki/Mutation_(genetic_algorithm),71
https://en.wikipedia.org/wiki/Truth_value,72
https://en.wikipedia.org/wiki/Sheffield_Scientific_School,73
https://en.wikipedia.org/wiki/ACM_Computing_Classification_System,74
https://en.wikipedia.org/wiki/AFSCME,75
https://en.wikipedia.org/wiki/Hiram_Bingham_III,76
https://en.wikipedia.org/wiki/Greedy_algorithm,77
https://en.wikipedia.org/wiki/Yield_(multithreading),78
https://en.wikipedia.org/wiki/List_of_important_publications_in_computer_science#Machine_learning,79
https://en.wikipedia.org/wiki/Alexandra_Lange,80
https://en.wikipedia.org/wiki/Tony_Blair,81
